language,cost_scheme,budget_fraction,strategy_a,strategy_b,paired_bugs,difference_percentage_points,ci_95_low,ci_95_high
JavaScript,exponential,0.4,exact_cost_aware,frequency_per_cost,128,-7.03125,-13.28125,-1.5625
JavaScript,exponential,0.4,frequency,cheap_first,128,17.96875,6.25,29.6875
JavaScript,exponential,0.5,frequency_per_cost,frequency,128,-4.6875,-14.0625,4.6875
JavaScript,exponential,0.5,exact_cost_aware,frequency,128,-9.375,-17.96875,-0.78125
JavaScript,exponential,0.5,exact_cost_aware,frequency_per_cost,128,-4.6875,-8.59375,-1.5625
JavaScript,exponential,0.5,frequency,cheap_first,128,34.375,21.09375,46.875
JavaScript,linear,0.1,frequency_per_cost,frequency,128,-0.78125,-7.8125,7.03125
JavaScript,linear,0.1,exact_cost_aware,frequency,128,-6.25,-13.28125,0.78125
JavaScript,linear,0.1,exact_cost_aware,frequency_per_cost,128,-5.46875,-11.71875,0.78125
JavaScript,linear,0.1,frequency,cheap_first,128,1.5625,-7.8125,10.9375
JavaScript,linear,0.2,frequency_per_cost,frequency,128,10.9375,5.46875,17.1875
JavaScript,linear,0.2,exact_cost_aware,frequency,128,7.8125,0.78125,14.84375
JavaScript,linear,0.2,exact_cost_aware,frequency_per_cost,128,-3.125,-7.03125,0.0
JavaScript,linear,0.2,frequency,cheap_first,128,-1.5625,-12.5,9.375
JavaScript,linear,0.3,frequency_per_cost,frequency,128,0.0,0.0,0.0
JavaScript,linear,0.3,exact_cost_aware,frequency,128,0.0,0.0,0.0
JavaScript,linear,0.3,exact_cost_aware,frequency_per_cost,128,0.0,0.0,0.0
JavaScript,linear,0.3,frequency,cheap_first,128,6.25,-5.46875,19.53125
JavaScript,linear,0.4,frequency_per_cost,frequency,128,-6.25,-10.9375,-2.34375
JavaScript,linear,0.4,exact_cost_aware,frequency,128,0.0,-6.25,6.25
JavaScript,linear,0.4,exact_cost_aware,frequency_per_cost,128,6.25,1.5625,10.9375
JavaScript,linear,0.4,frequency,cheap_first,128,25.78125,14.0625,37.5
JavaScript,linear,0.5,frequency_per_cost,frequency,128,0.0,0.0,0.0
JavaScript,linear,0.5,exact_cost_aware,frequency,128,-2.34375,-6.25,0.78125
JavaScript,linear,0.5,exact_cost_aware,frequency_per_cost,128,-2.34375,-6.25,0.78125
JavaScript,linear,0.5,frequency,cheap_first,128,49.21875,37.5,60.15625
JavaScript,steep,0.1,frequency_per_cost,frequency,128,15.625,7.8125,23.4375
JavaScript,steep,0.1,exact_cost_aware,frequency,128,16.40625,8.59375,24.21875
JavaScript,steep,0.1,exact_cost_aware,frequency_per_cost,128,0.78125,0.0,2.34375
JavaScript,steep,0.1,frequency,cheap_first,128,-13.28125,-21.09375,-5.46875
JavaScript,steep,0.2,frequency_per_cost,frequency,128,22.65625,12.5,32.8125
JavaScript,steep,0.2,exact_cost_aware,frequency,128,22.65625,12.5,32.8125
JavaScript,steep,0.2,exact_cost_aware,frequency_per_cost,128,0.0,-5.46875,5.46875
JavaScript,steep,0.2,frequency,cheap_first,128,-20.3125,-30.46875,-10.15625
JavaScript,steep,0.3,frequency_per_cost,frequency,128,18.75,11.71875,25.78125
JavaScript,steep,0.3,exact_cost_aware,frequency,128,6.25,-0.78125,13.28125
JavaScript,steep,0.3,exact_cost_aware,frequency_per_cost,128,-12.5,-20.3125,-3.90625
JavaScript,steep,0.3,frequency,cheap_first,128,0.78125,-10.9375,13.28125
JavaScript,steep,0.4,frequency_per_cost,frequency,128,7.8125,1.5625,14.84375
JavaScript,steep,0.4,exact_cost_aware,frequency,128,-3.125,-7.8125,0.78125
JavaScript,steep,0.4,exact_cost_aware,frequency_per_cost,128,-10.9375,-17.1875,-5.46875
JavaScript,steep,0.4,frequency,cheap_first,128,18.75,7.8125,29.6875
JavaScript,steep,0.5,frequency_per_cost,frequency,128,-3.90625,-14.0625,5.46875
JavaScript,steep,0.5,exact_cost_aware,frequency,128,-10.15625,-18.75,-1.5625
JavaScript,steep,0.5,exact_cost_aware,frequency_per_cost,128,-6.25,-10.9375,-1.5625
JavaScript,steep,0.5,frequency,cheap_first,128,35.9375,23.4375,48.4375
Python,exponential,0.1,frequency_per_cost,frequency,178,0.0,0.0,0.0
Python,exponential,0.1,exact_cost_aware,frequency,178,0.0,0.0,0.0
Python,exponential,0.1,exact_cost_aware,frequency_per_cost,178,0.0,0.0,0.0
Python,exponential,0.1,frequency,cheap_first,178,28.08988764044944,21.34831460674157,35.39325842696629
Python,exponential,0.2,frequency_per_cost,frequency,178,-3.932584269662921,-12.359550561797752,4.49438202247191
Python,exponential,0.2,exact_cost_aware,frequency,178,-5.056179775280898,-8.426966292134832,-2.247191011235955
Python,exponential,0.2,exact_cost_aware,frequency_per_cost,178,-1.1235955056179776,-8.98876404494382,6.179775280898876
Python,exponential,0.2,frequency,cheap_first,178,45.50561797752809,37.640449438202246,53.37078651685393
Python,exponential,0.3,frequency_per_cost,frequency,178,7.865168539325842,-0.5617977528089888,16.853932584269664
Python,exponential,0.3,exact_cost_aware,frequency,178,7.303370786516854,-1.1235955056179776,15.730337078651685
Python,exponential,0.3,exact_cost_aware,frequency_per_cost,178,-0.5617977528089888,-1.6853932584269662,0.0
