language,fold,cost_scheme,budget_fraction,budget,strategy,selected_count,selected_cost,selected_operators
Java,3,exponential,0.3,23.4,random,10.715,23.0,Mean of 1000 random portfolios
Java,3,exponential,0.4,31.2,frequency,10.0,31.0,CI;MCR;MRV;LOR;ROR;VA;MPM;DOC;SD;AIS
Java,3,exponential,0.4,31.2,frequency_per_cost,14.0,31.0,LOR;MRV;MCR;ROR;DOC;CI;SD;AIS;MPM;DTR;EII;AA;SR;SM
Java,3,exponential,0.4,31.2,cheap_first,22.0,30.0,LOR;ROR;DOC;SD;AIS;AA;SM;AOR;BR;DIS;BWO;CN;RAR;ElseI;MRV;DTR;EII;SR;BCO;CFSM;SI;EI
Java,3,exponential,0.4,31.2,exact_cost_aware,13.0,31.0,LOR;MRV;MCR;ROR;DOC;CI;SD;AIS;MPM;DTR;EII;SR;CFSM
Java,3,exponential,0.4,31.2,random,14.09,31.0,Mean of 1000 random portfolios
Java,3,exponential,0.5,39.0,frequency,13.0,39.0,CI;MCR;MRV;LOR;ROR;VA;MPM;DOC;MA;SD;AIS;DTR;EII
Java,3,exponential,0.5,39.0,frequency_per_cost,18.0,39.0,LOR;MRV;MCR;ROR;DOC;CI;SD;AIS;MPM;DTR;EII;AA;SR;BCO;CFSM;SI;EI;SM
Java,3,exponential,0.5,39.0,cheap_first,26.0,38.0,LOR;ROR;DOC;SD;AIS;AA;SM;AOR;BR;DIS;BWO;CN;RAR;ElseI;MRV;DTR;EII;SR;BCO;CFSM;SI;EI;VR;WLI;FLI;CASEI
Java,3,exponential,0.5,39.0,exact_cost_aware,17.0,39.0,LOR;MRV;MCR;ROR;DOC;CI;SD;AIS;MPM;DTR;EII;AA;SR;BCO;CFSM;MA;SM
Java,3,exponential,0.5,39.0,random,17.426,38.998,Mean of 1000 random portfolios
Java,3,steep,0.1,10.4,frequency,1.0,10.0,CI
Java,3,steep,0.1,10.4,frequency_per_cost,8.0,10.0,LOR;ROR;MRV;DOC;SD;AIS;AA;SM
Java,3,steep,0.1,10.4,cheap_first,10.0,10.0,LOR;ROR;DOC;SD;AIS;AA;SM;AOR;BR;DIS
Java,3,steep,0.1,10.4,exact_cost_aware,5.0,10.0,LOR;ROR;MCR;DOC;SD
Java,3,steep,0.1,10.4,random,4.691,10.0,Mean of 1000 random portfolios
Java,3,steep,0.2,20.8,frequency,4.0,20.0,CI;MCR;MRV;LOR
Java,3,steep,0.2,20.8,frequency_per_cost,11.0,20.0,LOR;ROR;MRV;MCR;DOC;SD;AIS;AA;DTR;SM;AOR
