language,fold,cost_scheme,budget_fraction,budget,strategy,covered,total,coverage_percent,selected_count,selected_cost,coverage_std
Java,3,linear,0.2,12.4,random,13.434000000000001,124,10.833870967741936,6.8,12.0,8.1580853222503
Java,3,linear,0.3,18.6,frequency,76.0,124,61.29032258064516,7.0,18.0,
Java,3,linear,0.3,18.6,frequency_per_cost,72.0,124,58.064516129032256,10.0,18.0,
Java,3,linear,0.3,18.6,cheap_first,26.0,124,20.967741935483872,16.0,18.0,
Java,3,linear,0.3,18.6,exact_cost_aware,72.0,124,58.064516129032256,10.0,18.0,
Java,3,linear,0.3,18.6,random,20.570999999999998,124,16.58951612903226,9.951,18.0,9.839033865917829
Java,3,linear,0.4,24.8,frequency,88.0,124,70.96774193548387,11.0,24.0,
Java,3,linear,0.4,24.8,frequency_per_cost,88.0,124,70.96774193548387,12.0,24.0,
Java,3,linear,0.4,24.8,cheap_first,30.0,124,24.193548387096776,19.0,24.0,
Java,3,linear,0.4,24.8,exact_cost_aware,88.0,124,70.96774193548387,11.0,24.0,
Java,3,linear,0.4,24.8,random,30.301,124,24.436290322580643,13.133,24.0,11.838036064515697
Java,3,linear,0.5,31.0,frequency,101.0,124,81.45161290322581,14.0,31.0,
Java,3,linear,0.5,31.0,frequency_per_cost,97.0,124,78.2258064516129,15.0,31.0,
Java,3,linear,0.5,31.0,cheap_first,32.0,124,25.806451612903224,22.0,30.0,
Java,3,linear,0.5,31.0,exact_cost_aware,97.0,124,78.2258064516129,15.0,31.0,
Java,3,linear,0.5,31.0,random,41.403999999999996,124,33.39032258064516,16.92,31.0,13.294044228335162
Java,3,exponential,0.1,7.8,frequency,32.0,124,25.806451612903224,3.0,7.0,
Java,3,exponential,0.1,7.8,frequency_per_cost,32.0,124,25.806451612903224,3.0,7.0,
Java,3,exponential,0.1,7.8,cheap_first,7.0,124,5.645161290322581,7.0,7.0,
Java,3,exponential,0.1,7.8,exact_cost_aware,32.0,124,25.806451612903224,3.0,7.0,
Java,3,exponential,0.1,7.8,random,5.762,124,4.646774193548387,4.361,7.0,4.941574811473831
Java,3,exponential,0.2,15.6,frequency,55.0,124,44.354838709677416,4.0,15.0,
Java,3,exponential,0.2,15.6,frequency_per_cost,44.0,124,35.483870967741936,8.0,15.0,
Java,3,exponential,0.2,15.6,cheap_first,7.0,124,5.645161290322581,14.0,14.0,
Java,3,exponential,0.2,15.6,exact_cost_aware,55.0,124,44.354838709677416,4.0,15.0,
Java,3,exponential,0.2,15.6,random,13.496000000000002,124,10.883870967741936,7.394,15.0,7.756391430169547
Java,3,exponential,0.3,23.4,frequency,72.0,124,58.064516129032256,9.0,23.0,
Java,3,exponential,0.3,23.4,frequency_per_cost,72.0,124,58.064516129032256,9.0,23.0,
Java,3,exponential,0.3,23.4,cheap_first,30.0,124,24.193548387096776,18.0,22.0,
Java,3,exponential,0.3,23.4,exact_cost_aware,72.0,124,58.064516129032256,9.0,23.0,
Java,3,exponential,0.3,23.4,random,21.107999999999997,124,17.022580645161288,10.715,23.0,9.550122872844547
Java,3,exponential,0.4,31.2,frequency,84.0,124,67.74193548387096,10.0,31.0,
Java,3,exponential,0.4,31.2,frequency_per_cost,81.0,124,65.3225806451613,14.0,31.0,
Java,3,exponential,0.4,31.2,cheap_first,32.0,124,25.806451612903224,22.0,30.0,
Java,3,exponential,0.4,31.2,exact_cost_aware,82.0,124,66.12903225806451,13.0,31.0,
Java,3,exponential,0.4,31.2,random,31.708999999999996,124,25.571774193548386,14.09,31.0,11.640890325711084
Java,3,exponential,0.5,39.0,frequency,93.0,124,75.0,13.0,39.0,
Java,3,exponential,0.5,39.0,frequency_per_cost,84.0,124,67.74193548387096,18.0,39.0,
Java,3,exponential,0.5,39.0,cheap_first,33.0,124,26.612903225806452,26.0,38.0,
Java,3,exponential,0.5,39.0,exact_cost_aware,85.0,124,68.54838709677419,17.0,39.0,
Java,3,exponential,0.5,39.0,random,40.31100000000001,124,32.50887096774194,17.426,38.998,13.024108610980857
Java,3,steep,0.1,10.4,frequency,16.0,124,12.903225806451612,1.0,10.0,
Java,3,steep,0.1,10.4,frequency_per_cost,23.0,124,18.548387096774192,8.0,10.0,
Java,3,steep,0.1,10.4,cheap_first,7.0,124,5.645161290322581,10.0,10.0,
Java,3,steep,0.1,10.4,exact_cost_aware,20.0,124,16.129032258064516,5.0,10.0,
Java,3,steep,0.1,10.4,random,6.244,124,5.035483870967742,4.691,10.0,5.02849213818179
Java,3,steep,0.2,20.8,frequency,55.0,124,44.354838709677416,4.0,20.0,
